name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.match_products\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""match_products"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_match_products_0c0776fca9ff752b347778fe05bfe963
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.handle_new_user\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""handle_new_user"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_handle_new_user_ec06ab3be8a1a4ff0208cacb3db6875d
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.handle_admin_notification\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""handle_admin_notification"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_handle_admin_notification_58a63418b94371f3b53e1b8eb887a7b8
function_search_path_mutable,Function Search Path Mutable,WARN,EXTERNAL,"[""SECURITY""]",Detects functions where the search_path parameter is not set.,Function \`public.is_admin\` has a role mutable search_path,https://supabase.com/docs/guides/database/database-linter?lint=0011_function_search_path_mutable,"{""name"":""is_admin"",""type"":""function"",""schema"":""public""}",function_search_path_mutable_public_is_admin_0647698ff33fcdfb54b270546e0d9bd4
extension_in_public,Extension in Public,WARN,EXTERNAL,"[""SECURITY""]",Detects extensions installed in the \`public\` schema.,Extension \`vector\` is installed in the public schema. Move it to another schema.,https://supabase.com/docs/guides/database/database-linter?lint=0014_extension_in_public,"{""name"":""vector"",""type"":""extension"",""schema"":""public""}",extension_in_public_vector
rls_policy_always_true,RLS Policy Always True,WARN,EXTERNAL,"[""SECURITY""]","Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access.",Table `public.cart_items` has an RLS policy `Public access cart_items` for `ALL` that allows unrestricted access (both USING and WITH CHECK are always true). This effectively bypasses row-level security for -.,https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy,"{""name"":""cart_items"",""qual"":""true"",""type"":""table"",""roles"":[""-""],""schema"":""public"",""command"":""ALL"",""with_check"":""true"",""policy_name"":""Public access cart_items"",""permissive_using"":true,""permissive_with_check"":true}",rls_policy_always_true_public_cart_items_Public access cart_items
rls_policy_always_true,RLS Policy Always True,WARN,EXTERNAL,"[""SECURITY""]","Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access.",Table `public.carts` has an RLS policy `Public access carts` for `ALL` that allows unrestricted access (both USING and WITH CHECK are always true). This effectively bypasses row-level security for -.,https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy,"{""name"":""carts"",""qual"":""true"",""type"":""table"",""roles"":[""-""],""schema"":""public"",""command"":""ALL"",""with_check"":""true"",""policy_name"":""Public access carts"",""permissive_using"":true,""permissive_with_check"":true}",rls_policy_always_true_public_carts_Public access carts
rls_policy_always_true,RLS Policy Always True,WARN,EXTERNAL,"[""SECURITY""]","Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access.",Table `public.categories` has an RLS policy `Allow authenticated delete categories` for `DELETE` that allows unrestricted access (USING clause is always true). This effectively bypasses row-level security for authenticated.,https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy,"{""name"":""categories"",""qual"":""true"",""type"":""table"",""roles"":[""authenticated""],""schema"":""public"",""command"":""DELETE"",""with_check"":null,""policy_name"":""Allow authenticated delete categories"",""permissive_using"":true,""permissive_with_check"":false}",rls_policy_always_true_public_categories_Allow authenticated delete categories
rls_policy_always_true,RLS Policy Always True,WARN,EXTERNAL,"[""SECURITY""]","Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access.",Table `public.categories` has an RLS policy `Allow authenticated insert categories` for `INSERT` that allows unrestricted access (WITH CHECK clause is always true). This effectively bypasses row-level security for authenticated.,https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy,"{""name"":""categories"",""qual"":null,""type"":""table"",""roles"":[""authenticated""],""schema"":""public"",""command"":""INSERT"",""with_check"":""true"",""policy_name"":""Allow authenticated insert categories"",""permissive_using"":false,""permissive_with_check"":true}",rls_policy_always_true_public_categories_Allow authenticated insert categories
rls_policy_always_true,RLS Policy Always True,WARN,EXTERNAL,"[""SECURITY""]","Detects RLS policies that use overly permissive expressions like \`USING (true)\` or \`WITH CHECK (true)\` for UPDATE, DELETE, or INSERT operations. SELECT policies with \`USING (true)\` are intentionally excluded as this pattern is often used deliberately for public read access.",Table `public.categories` has an RLS policy `Allow authenticated update categories` for `UPDATE` that allows unrestricted access (both USING and WITH CHECK are always true). This effectively bypasses row-level security for authenticated.,https://supabase.com/docs/guides/database/database-linter?lint=0024_permissive_rls_policy,"{""name"":""categories"",""qual"":""true"",""type"":""table"",""roles"":[""authenticated""],""schema"":""public"",""command"":""UPDATE"",""with_check"":""true"",""policy_name"":""Allow authenticated update categories"",""permissive_using"":true,""permissive_with_check"":true}",rls_policy_always_true_public_categories_Allow authenticated update categories
